Dataset,Model,Seed,Epochs,Learning Rate,Batch Size,Loss
MNIST,SMLLAE,3,0,0.001,128,0.007526669676091943
MNIST,SMLLAE,3,Test,0.001,128,0.007211240739384784
MNIST,SMLLAE,3,0,0.0001,128,0.00950174984126997
MNIST,SMLLAE,3,Test,0.0001,128,0.0076771191722135755
MNIST,SMLLAE,3,0,0.01,32,0.027454067893822987
MNIST,SMLLAE,3,1,0.01,32,0.026831529101729392
MNIST,SMLLAE,3,2,0.01,32,0.026811624216039977
MNIST,SMLLAE,3,3,0.01,32,0.026806506638725597
MNIST,SMLLAE,3,4,0.01,32,0.026803672764698663
MNIST,SMLLAE,3,5,0.01,32,0.026803912051518757
MNIST,SMLLAE,3,6,0.01,32,0.026797309777140618
MNIST,SMLLAE,3,7,0.01,32,0.026796994694073994
MNIST,SMLLAE,3,8,0.01,32,0.026795483962694804
MNIST,SMLLAE,3,9,0.01,32,0.026794185261925063
MNIST,SMLLAE,3,Test,0.01,32,0.02660111831828428
MNIST,SMLLAE,3,0,0.001,32,0.028649589363733928
MNIST,SMLLAE,3,1,0.001,32,0.026906486244996388
MNIST,SMLLAE,3,2,0.001,32,0.026753301899631817
MNIST,SMLLAE,3,3,0.001,32,0.026641209758321443
MNIST,SMLLAE,3,4,0.001,32,0.026585692855715753
MNIST,SMLLAE,3,5,0.001,32,0.026567875307798385
MNIST,SMLLAE,3,6,0.001,32,0.026551405408978462
MNIST,SMLLAE,3,7,0.001,32,0.02654039367934068
MNIST,SMLLAE,3,8,0.001,32,0.02653295478026072
MNIST,SMLLAE,3,9,0.001,32,0.026528906763593357
MNIST,SMLLAE,3,Test,0.001,32,0.02637776609855338
MNIST,SMLLAE,3,0,0.0001,32,0.03173647263844808
MNIST,SMLLAE,3,1,0.0001,32,0.02886401378015677
MNIST,SMLLAE,3,2,0.0001,32,0.028587549089392025
MNIST,SMLLAE,3,3,0.0001,32,0.027565429803729058
MNIST,SMLLAE,3,4,0.0001,32,0.027165669505794843
MNIST,SMLLAE,3,5,0.0001,32,0.02697430467903614
MNIST,SMLLAE,3,6,0.0001,32,0.026871254283189774
MNIST,SMLLAE,3,7,0.0001,32,0.026795387203494708
MNIST,SMLLAE,3,8,0.0001,32,0.026741917686661086
MNIST,SMLLAE,3,9,0.0001,32,0.026709992335240046
MNIST,SMLLAE,3,Test,0.0001,32,0.026490686473231346
MNIST,SMLLAE,3,0,0.01,64,0.01404481735636494
MNIST,SMLLAE,3,1,0.01,64,0.013386585297924814
MNIST,SMLLAE,3,2,0.01,64,0.01336554453662559
MNIST,SMLLAE,3,3,0.01,64,0.013358125252637274
MNIST,SMLLAE,3,4,0.01,64,0.013355930065756033
MNIST,SMLLAE,3,5,0.01,64,0.01335246759607816
MNIST,SMLLAE,3,6,0.01,64,0.013351549766759183
MNIST,SMLLAE,3,7,0.01,64,0.013349086546631002
MNIST,SMLLAE,3,8,0.01,64,0.013348809674755532
MNIST,SMLLAE,3,9,0.01,64,0.013348076793390996
MNIST,SMLLAE,3,Test,0.01,64,0.013257391602512757
MNIST,SMLLAE,3,0,0.001,64,0.014717728616411624
MNIST,SMLLAE,3,1,0.001,64,0.013693687724453936
MNIST,SMLLAE,3,2,0.001,64,0.013446104550944653
MNIST,SMLLAE,3,3,0.001,64,0.01338917277018621
MNIST,SMLLAE,3,4,0.001,64,0.01336253014232304
MNIST,SMLLAE,3,5,0.001,64,0.013338830075792667
MNIST,SMLLAE,3,6,0.001,64,0.013317811025826852
MNIST,SMLLAE,3,7,0.001,64,0.013303299055202429
MNIST,SMLLAE,3,8,0.001,64,0.013295027448225822
MNIST,SMLLAE,3,9,0.001,64,0.013289963825544251
MNIST,SMLLAE,3,Test,0.001,64,0.013218538194989703
MNIST,SMLLAE,3,0,0.0001,64,0.01703710093605779
MNIST,SMLLAE,3,1,0.0001,64,0.01449135983529598
MNIST,SMLLAE,3,2,0.0001,64,0.014445639359377531
MNIST,SMLLAE,3,3,0.0001,64,0.014414341943556947
MNIST,SMLLAE,3,4,0.0001,64,0.014290309015677365
MNIST,SMLLAE,3,5,0.0001,64,0.01393809658326288
MNIST,SMLLAE,3,6,0.0001,64,0.01374096487031213
MNIST,SMLLAE,3,7,0.0001,64,0.013627873918315622
MNIST,SMLLAE,3,8,0.0001,64,0.013548263607781007
MNIST,SMLLAE,3,9,0.0001,64,0.01349251566113217
MNIST,SMLLAE,3,Test,0.0001,64,0.013361595315965497
MNIST,SMLLAE,3,0,0.01,128,0.007266542625063454
MNIST,SMLLAE,3,1,0.01,128,0.00678092165431107
MNIST,SMLLAE,3,2,0.01,128,0.0066915021718803374
MNIST,SMLLAE,3,3,0.01,128,0.006670213722463038
MNIST,SMLLAE,3,4,0.01,128,0.006663954504993933
MNIST,SMLLAE,3,5,0.01,128,0.0066620229250952
MNIST,SMLLAE,3,6,0.01,128,0.006660168655891853
MNIST,SMLLAE,3,7,0.01,128,0.006659526169411282
MNIST,SMLLAE,3,8,0.01,128,0.006658213584423701
MNIST,SMLLAE,3,9,0.01,128,0.006658056228638076
MNIST,SMLLAE,3,Test,0.01,128,0.006617597817101434
MNIST,SMLLAE,3,0,0.001,128,0.007526669676091943
MNIST,SMLLAE,3,1,0.001,128,0.007129180543958696
MNIST,SMLLAE,3,2,0.001,128,0.006862399920916506
MNIST,SMLLAE,3,3,0.001,128,0.006765948293774303
MNIST,SMLLAE,3,4,0.001,128,0.006721909473668029
MNIST,SMLLAE,3,5,0.001,128,0.006699072000489179
MNIST,SMLLAE,3,6,0.001,128,0.006684755486473918
MNIST,SMLLAE,3,7,0.001,128,0.006674145271918222
MNIST,SMLLAE,3,8,0.001,128,0.006666190188521071
MNIST,SMLLAE,3,9,0.001,128,0.006659881065863727
MNIST,SMLLAE,3,Test,0.001,128,0.006614525159938803
MNIST,SMLLAE,3,0,0.0001,128,0.00950174984126997
MNIST,SMLLAE,3,1,0.0001,128,0.007386878294659767
MNIST,SMLLAE,3,2,0.0001,128,0.007251438246900911
MNIST,SMLLAE,3,3,0.0001,128,0.00723170671564366
MNIST,SMLLAE,3,4,0.0001,128,0.007222511460071307
MNIST,SMLLAE,3,5,0.0001,128,0.007213867470018391
MNIST,SMLLAE,3,6,0.0001,128,0.007201985078754583
MNIST,SMLLAE,3,7,0.0001,128,0.0071807878910065456
MNIST,SMLLAE,3,8,0.0001,128,0.0071292876669052825
MNIST,SMLLAE,3,9,0.0001,128,0.007031703357900511
MNIST,SMLLAE,3,Test,0.0001,128,0.006947215599349782
MNIST,SMLLAE,4,0,0.01,32,0.027467248126864432
MNIST,SMLLAE,4,Test,0.01,32,0.026677239567231826
MNIST,SMLLAE,4,0,0.001,32,0.027989606668551763
MNIST,SMLLAE,4,Test,0.001,32,0.026736941010045548
MNIST,SMLLAE,4,0,0.0001,32,0.03149251182675362
MNIST,SMLLAE,4,Test,0.0001,32,0.02869484414117405
MNIST,SMLLAE,4,0,0.01,64,0.01391412727217049
MNIST,SMLLAE,4,Test,0.01,64,0.013436886232797127
MNIST,SMLLAE,4,0,0.001,64,0.014377051853199504
MNIST,SMLLAE,4,Test,0.001,64,0.013523386233741311
MNIST,SMLLAE,4,0,0.0001,64,0.01683956883482333
MNIST,SMLLAE,4,Test,0.0001,64,0.014499837247903938
MNIST,SMLLAE,4,0,0.01,128,0.007190725767115222
MNIST,SMLLAE,4,Test,0.01,128,0.006779278487061398
MNIST,SMLLAE,4,0,0.001,128,0.00748489843979319
MNIST,SMLLAE,4,Test,0.001,128,0.007025492513151486
MNIST,SMLLAE,4,0,0.0001,128,0.009374442009894705
MNIST,SMLLAE,4,Test,0.0001,128,0.007497817272013879
MNIST,SMLLAE,4,0,0.01,32,0.027467248126864432
MNIST,SMLLAE,4,1,0.01,32,0.02684157291750113
MNIST,SMLLAE,4,2,0.01,32,0.026813610881567
MNIST,SMLLAE,4,3,0.01,32,0.026807075793544452
MNIST,SMLLAE,4,4,0.01,32,0.026806024954716366
MNIST,SMLLAE,4,5,0.01,32,0.02680357968211174
MNIST,SMLLAE,4,6,0.01,32,0.02680332838992278
MNIST,SMLLAE,4,7,0.01,32,0.02680427881081899
MNIST,SMLLAE,4,8,0.01,32,0.026805119377374648
MNIST,SMLLAE,4,9,0.01,32,0.02680271965165933
MNIST,SMLLAE,4,Test,0.01,32,0.02663150910561839
MNIST,SMLLAE,4,0,0.001,32,0.027989606668551763
MNIST,SMLLAE,4,1,0.001,32,0.026807100077470145
MNIST,SMLLAE,4,2,0.001,32,0.026670848566293717
MNIST,SMLLAE,4,3,0.001,32,0.026590073439478876
MNIST,SMLLAE,4,4,0.001,32,0.026566647137204805
MNIST,SMLLAE,4,5,0.001,32,0.026555790369709332
MNIST,SMLLAE,4,6,0.001,32,0.02654871385594209
MNIST,SMLLAE,4,7,0.001,32,0.026543216965595882
MNIST,SMLLAE,4,8,0.001,32,0.02653994532128175
MNIST,SMLLAE,4,9,0.001,32,0.026537012592951457
MNIST,SMLLAE,4,Test,0.001,32,0.026378596130127725
MNIST,SMLLAE,4,0,0.0001,32,0.03149251182675362
MNIST,SMLLAE,4,1,0.0001,32,0.0282554923504591
MNIST,SMLLAE,4,2,0.0001,32,0.02745947249432405
MNIST,SMLLAE,4,3,0.0001,32,0.027162082609534264
MNIST,SMLLAE,4,4,0.0001,32,0.027011254115899403
MNIST,SMLLAE,4,5,0.0001,32,0.02691289305090904
MNIST,SMLLAE,4,6,0.0001,32,0.026840431077281634
MNIST,SMLLAE,4,7,0.0001,32,0.026787269205848376
MNIST,SMLLAE,4,8,0.0001,32,0.026747838108738264
MNIST,SMLLAE,4,9,0.0001,32,0.02671565698583921
MNIST,SMLLAE,4,Test,0.0001,32,0.026504907203606144
MNIST,SMLLAE,4,0,0.01,64,0.01391412727217049
MNIST,SMLLAE,4,1,0.01,64,0.013436063997018566
MNIST,SMLLAE,4,2,0.01,64,0.013376562770749969
MNIST,SMLLAE,4,3,0.01,64,0.013366346217707785
MNIST,SMLLAE,4,4,0.01,64,0.013361999714401548
MNIST,SMLLAE,4,5,0.01,64,0.013359892700336128
MNIST,SMLLAE,4,6,0.01,64,0.013357244081485437
MNIST,SMLLAE,4,7,0.01,64,0.013357081209251812
MNIST,SMLLAE,4,8,0.01,64,0.013356173400090002
MNIST,SMLLAE,4,9,0.01,64,0.013355251994412908
MNIST,SMLLAE,4,Test,0.01,64,0.013271922779500863
MNIST,SMLLAE,4,0,0.001,64,0.014377051853199504
MNIST,SMLLAE,4,1,0.001,64,0.013512781122202938
MNIST,SMLLAE,4,2,0.001,64,0.013400144494776087
MNIST,SMLLAE,4,3,0.001,64,0.013349439117755654
MNIST,SMLLAE,4,4,0.001,64,0.013319728205969402
MNIST,SMLLAE,4,5,0.001,64,0.013296603543886435
MNIST,SMLLAE,4,6,0.001,64,0.01327786815644645
MNIST,SMLLAE,4,7,0.001,64,0.013271228816392007
MNIST,SMLLAE,4,8,0.001,64,0.013267569254829623
MNIST,SMLLAE,4,9,0.001,64,0.013264783328450692
MNIST,SMLLAE,4,Test,0.001,64,0.013181038016963537
MNIST,SMLLAE,4,0,0.0001,64,0.01683956883482333
MNIST,SMLLAE,4,1,0.0001,64,0.014429507977656846
MNIST,SMLLAE,4,2,0.0001,64,0.01421829554707066
MNIST,SMLLAE,4,3,0.0001,64,0.013919128451559907
MNIST,SMLLAE,4,4,0.0001,64,0.013722611110665396
MNIST,SMLLAE,4,5,0.0001,64,0.013619092191809784
MNIST,SMLLAE,4,6,0.0001,64,0.013552690168092055
MNIST,SMLLAE,4,7,0.0001,64,0.013505488462341049
MNIST,SMLLAE,4,8,0.0001,64,0.013471202542588337
MNIST,SMLLAE,4,9,0.0001,64,0.013444786058313875
MNIST,SMLLAE,4,Test,0.0001,64,0.013326399763868114
MNIST,SMLLAE,4,0,0.01,128,0.007190725767115222
MNIST,SMLLAE,4,1,0.01,128,0.00675023056125876
MNIST,SMLLAE,4,2,0.01,128,0.0066801606357764845
MNIST,SMLLAE,4,3,0.01,128,0.00666625525500538
MNIST,SMLLAE,4,4,0.01,128,0.006662661204738086
MNIST,SMLLAE,4,5,0.01,128,0.006661542431155501
MNIST,SMLLAE,4,6,0.01,128,0.006660503873438723
MNIST,SMLLAE,4,7,0.01,128,0.006660562769166315
MNIST,SMLLAE,4,8,0.01,128,0.006659372222186851
MNIST,SMLLAE,4,9,0.01,128,0.006659471866752166
MNIST,SMLLAE,4,Test,0.01,128,0.0066152433452161055
MNIST,SMLLAE,4,0,0.001,128,0.00748489843979319
MNIST,SMLLAE,4,1,0.001,128,0.006885871741928653
MNIST,SMLLAE,4,2,0.001,128,0.0067617408891540096
MNIST,SMLLAE,4,3,0.001,128,0.006719181147306713
MNIST,SMLLAE,4,4,0.001,128,0.006695649964905687
MNIST,SMLLAE,4,5,0.001,128,0.006681848885312772
MNIST,SMLLAE,4,6,0.001,128,0.006672086936832745
MNIST,SMLLAE,4,7,0.001,128,0.006663112913065755
MNIST,SMLLAE,4,8,0.001,128,0.006654698399703767
MNIST,SMLLAE,4,9,0.001,128,0.006649073192488347
MNIST,SMLLAE,4,Test,0.001,128,0.006602375650236123
MNIST,SMLLAE,4,0,0.0001,128,0.009374442009894705
MNIST,SMLLAE,4,1,0.0001,128,0.007340980528879649
MNIST,SMLLAE,4,2,0.0001,128,0.0072259333586371915
MNIST,SMLLAE,4,3,0.0001,128,0.007187414782316382
MNIST,SMLLAE,4,4,0.0001,128,0.007134252504856665
MNIST,SMLLAE,4,5,0.0001,128,0.0070492568751499216
MNIST,SMLLAE,4,6,0.0001,128,0.006963831557234975
MNIST,SMLLAE,4,7,0.0001,128,0.00689666945117909
MNIST,SMLLAE,4,8,0.0001,128,0.006850970373836471
MNIST,SMLLAE,4,9,0.0001,128,0.006820131329569354
MNIST,SMLLAE,4,Test,0.0001,128,0.006753266028635487
